id,date,amount,vendor,description,department,category,is_recurring,created_at
40,2024-11-06,1492.81,Adobe Creative,Marketing tools subscription,Sales,Marketing,False,2025-07-09 11:11:54
41,2025-02-16,2775.81,Lenovo,Computer equipment,Finance,Equipment,False,2025-07-09 11:11:54
42,2024-12-22,2384.25,Lyft,Business trip,Finance,Travel,False,2025-07-09 11:11:54
43,2024-10-11,1849.53,LinkedIn Learning,Online course,Sales,Training,False,2025-07-09 11:11:54
44,2025-06-18,669.81,Home Depot,Office materials,Operations,Office Supplies,False,2025-07-09 11:11:54
45,2024-11-24,3145.21,LinkedIn Marketing,Marketing tools subscription,Executive,Marketing,False,2025-07-09 11:11:54
46,2024-08-26,615.77,Coursera Business,Online course,Operations,Training,False,2025-07-09 11:11:54
47,2025-03-10,3441.16,Apple Business,Office furniture,HR,Equipment,False,2025-07-09 11:11:54
48,2024-11-28,22661.27,Paychex,Contractor payment,Executive,Personnel,False,2025-07-09 11:11:54
49,2025-06-08,817.65,Conference Registration,Conference registration,Engineering,Training,False,2025-07-09 11:11:54
50,2025-01-09,2462.27,Expedia,Client meeting travel,Executive,Travel,False,2025-07-09 11:11:54
51,2024-08-15,271.24,LinkedIn Learning,Professional certification,Engineering,Training,False,2025-07-09 11:11:54
52,2025-06-18,9502.4,Workday,Employee benefits,Marketing,Personnel,False,2025-07-09 11:11:54
53,2025-04-09,634.85,Miscellaneous Vendor,Miscellaneous expense,Executive,Other,False,2025-07-09 11:11:54
54,2025-05-24,706.89,Office Depot,Office materials,Engineering,Office Supplies,False,2025-07-09 11:11:54
55,2025-06-02,139.36,LinkedIn Learning,Conference registration,HR,Training,False,2025-07-09 11:11:54
56,2024-11-18,873.0,Lenovo,Office furniture,Finance,Equipment,False,2025-07-09 11:11:54
57,2025-01-27,1421.73,Airbnb,Conference travel,Marketing,Travel,False,2025-07-09 11:11:54
58,2024-08-21,1739.4,Canva,Ad campaign,Operations,Marketing,False,2025-07-09 11:11:54
59,2025-01-21,1153.34,Comcast Business,Phone service,Operations,Utilities,True,2025-07-09 11:11:54
60,2025-02-09,3059.76,Xerox,Computer equipment,HR,Equipment,False,2025-07-09 11:11:54
61,2025-01-24,7543.01,PwC,Accounting services,HR,Professional Services,False,2025-07-09 11:11:54
62,2024-07-26,183.21,Costco Business,Meeting room supplies,Operations,Office Supplies,False,2025-07-09 11:11:54
63,2024-11-26,774.19,GitHub,API usage fees,Finance,IT Infrastructure,False,2025-07-09 11:11:54
64,2025-03-27,2027.6,HubSpot,Ad campaign,Sales,Marketing,False,2025-07-09 11:11:54
65,2025-06-13,460.65,O'Reilly Media,Online course,Executive,Training,False,2025-07-09 11:11:54
66,2024-08-29,7726.11,Wilson Law Firm,Legal consultation,Operations,Professional Services,False,2025-07-09 11:11:54
67,2025-04-26,366.37,General Supplies Co,Miscellaneous expense,Marketing,Other,False,2025-07-09 11:11:54
68,2025-01-22,3450.04,McKinsey,Accounting services,Finance,Professional Services,False,2025-07-09 11:11:54
69,2025-04-19,2167.79,Deloitte Consulting,Business consulting,Executive,Professional Services,False,2025-07-09 11:11:54
70,2024-11-23,590.82,Comcast Business,Monthly utilities,Finance,Utilities,False,2025-07-09 11:11:54
71,2024-09-09,425.66,Expedia,Client meeting travel,Executive,Travel,False,2025-07-09 11:11:54
72,2024-12-15,2400.57,Hilton,Business trip,Operations,Travel,False,2025-07-09 11:11:54
73,2024-10-04,1096.95,Xerox,Computer equipment,Finance,Equipment,False,2025-07-09 11:11:54
74,2025-01-01,14058.5,LinkedIn Recruiter,Employee benefits,HR,Personnel,True,2025-07-09 11:11:54
75,2024-11-10,878.13,Pacific Gas & Electric,Internet service,Executive,Utilities,False,2025-07-09 11:11:54
76,2024-12-23,73.38,Amazon Business,Desk supplies,Executive,Office Supplies,False,2025-07-09 11:11:54
77,2025-07-01,1467.83,Airbnb,Business trip,Marketing,Travel,False,2025-07-09 11:11:54
78,2024-10-10,1541.32,O'Reilly Media,Professional certification,Engineering,Training,False,2025-07-09 11:11:54
79,2025-06-15,2014.63,NetGear,Office furniture,HR,Equipment,False,2025-07-09 11:11:54
80,2024-08-07,811.13,Coursera Business,Online course,Marketing,Training,False,2025-07-09 11:11:54
81,2025-06-29,733.52,IKEA Business,Desk supplies,HR,Office Supplies,False,2025-07-09 11:11:54
82,2025-01-30,851.88,LinkedIn Learning,Online course,Engineering,Training,False,2025-07-09 11:11:54
83,2025-05-29,4785.92,Smith & Associates,Accounting services,Finance,Professional Services,False,2025-07-09 11:11:54
84,2025-05-28,2030.54,Uber,Business trip,HR,Travel,False,2025-07-09 11:11:54
85,2024-12-18,3269.62,HubSpot,Ad campaign,Marketing,Marketing,False,2025-07-09 11:11:54
86,2024-07-23,7413.24,Smith & Associates,Accounting services,HR,Professional Services,False,2025-07-09 11:11:54
87,2025-03-30,168.73,General Supplies Co,General business cost,Marketing,Other,False,2025-07-09 11:11:54
88,2024-10-17,246.92,IKEA Business,Desk supplies,Sales,Office Supplies,False,2025-07-09 11:11:54
89,2025-01-14,1600.25,PwC,Business consulting,HR,Professional Services,False,2025-07-09 11:11:54
90,2024-08-16,60.26,Costco Business,Office materials,Marketing,Office Supplies,False,2025-07-09 11:11:54
91,2024-07-21,715.85,Pacific Gas & Electric,Internet service,Engineering,Utilities,False,2025-07-09 11:11:54
92,2025-02-21,13710.95,LinkedIn Recruiter,Recruitment fees,Engineering,Personnel,False,2025-07-09 11:11:54
93,2024-11-09,3656.94,PwC,Accounting services,Engineering,Professional Services,False,2025-07-09 11:11:54
94,2025-04-28,12978.97,Workday,Contractor payment,HR,Personnel,False,2025-07-09 11:11:54
95,2025-03-16,1702.61,Enterprise Rent-A-Car,Business trip,Operations,Travel,False,2025-07-09 11:11:54
96,2024-09-06,421.84,Best Buy Business,Desk supplies,Executive,Office Supplies,False,2025-07-09 11:11:54
97,2024-09-27,1328.17,Waste Management,Monthly utilities,Finance,Utilities,True,2025-07-09 11:11:54
98,2024-09-22,4367.4,Workday,Contractor payment,Engineering,Personnel,True,2025-07-09 11:11:54
99,2025-05-11,644.8,Home Depot,Meeting room supplies,Finance,Office Supplies,False,2025-07-09 11:11:54
100,2024-08-21,206.65,Costco Business,Desk supplies,Operations,Office Supplies,False,2025-07-09 11:11:54
101,2025-01-16,1686.05,Marriott Hotels,Client meeting travel,Operations,Travel,False,2025-07-09 11:11:54
102,2025-04-12,702.37,Business Services Inc,General business cost,Operations,Other,False,2025-07-09 11:11:54
103,2024-10-29,3339.6,LinkedIn Recruiter,Contractor payment,Sales,Personnel,False,2025-07-09 11:11:54
104,2025-04-02,11711.15,Workday,Employee benefits,Sales,Personnel,False,2025-07-09 11:11:54
105,2025-06-19,6164.45,Deloitte Consulting,Accounting services,Executive,Professional Services,False,2025-07-09 11:11:54
106,2025-04-08,2898.01,Adobe Creative,Content creation,Sales,Marketing,False,2025-07-09 11:11:54
107,2024-10-26,3708.46,PwC,Accounting services,Marketing,Professional Services,False,2025-07-09 11:11:54
108,2025-02-16,3622.76,Apple Business,Software/hardware,Finance,Equipment,False,2025-07-09 11:11:54
109,2024-11-09,3744.69,PwC,Accounting services,Sales,Professional Services,False,2025-07-09 11:11:54
110,2025-04-21,14434.36,Paychex,Recruitment fees,HR,Personnel,False,2025-07-09 11:11:54
111,2024-09-30,14495.03,Paychex,Employee benefits,Operations,Personnel,False,2025-07-09 11:11:54
112,2025-02-28,512.3,IKEA Business,Meeting room supplies,Sales,Office Supplies,False,2025-07-09 11:11:54
113,2025-04-30,436.92,Waste Management,Internet service,HR,Utilities,False,2025-07-09 11:11:54
114,2024-08-15,585.36,Comcast Business,Phone service,Finance,Utilities,True,2025-07-09 11:11:54
115,2025-05-22,971.59,Business Services Inc,Miscellaneous expense,HR,Other,False,2025-07-09 11:11:54
116,2025-05-23,410.55,LinkedIn Learning,Conference registration,Engineering,Training,False,2025-07-09 11:11:54
117,2024-09-29,786.79,Uber,Business trip,Operations,Travel,False,2025-07-09 11:11:54
118,2025-03-02,1192.94,Udemy Business,Professional certification,Engineering,Training,False,2025-07-09 11:11:54
119,2025-05-06,403.18,Business Services Inc,Miscellaneous expense,Engineering,Other,False,2025-07-09 11:11:54
120,2025-03-26,1632.22,Udemy Business,Online course,Marketing,Training,False,2025-07-09 11:11:54
121,2024-12-18,2351.7,Uber,Conference travel,Sales,Travel,False,2025-07-09 11:11:54
122,2024-12-27,981.43,Delta Airlines,Conference travel,Executive,Travel,False,2025-07-09 11:11:54
123,2025-06-06,546.3,Best Buy Business,Meeting room supplies,Operations,Office Supplies,False,2025-07-09 11:11:54
124,2024-11-13,1983.48,O'Reilly Media,Professional certification,Finance,Training,False,2025-07-09 11:11:54
125,2024-07-30,471.17,Pacific Gas & Electric,Phone service,Finance,Utilities,False,2025-07-09 11:11:54
126,2025-01-11,2460.29,Staples,Desk supplies,Sales,Office Supplies,False,2025-07-09 11:11:54
127,2025-06-18,1154.0,Canva,Content creation,Operations,Marketing,False,2025-07-09 11:11:54
128,2024-11-13,4707.91,NetGear,Office furniture,Executive,Equipment,False,2025-07-09 11:11:54
129,2024-11-08,875.12,Pluralsight,Conference registration,Sales,Training,False,2025-07-09 11:11:54
130,2024-11-27,4498.52,Legal Services Inc,Business consulting,Executive,Professional Services,False,2025-07-09 11:11:54
131,2025-07-09,2385.13,Lyft,Client meeting travel,HR,Travel,False,2025-07-09 11:11:54
132,2025-02-20,4782.75,LinkedIn Marketing,Marketing tools subscription,Engineering,Marketing,False,2025-07-09 11:11:54
133,2024-09-29,341.02,IKEA Business,Office materials,Operations,Office Supplies,False,2025-07-09 11:11:54
134,2024-08-31,604.98,Delta Airlines,Business trip,Engineering,Travel,False,2025-07-09 11:11:54
135,2025-05-04,340.88,Airbnb,Conference travel,HR,Travel,False,2025-07-09 11:11:54
136,2025-02-10,3835.18,Lenovo,Computer equipment,Engineering,Equipment,False,2025-07-09 11:11:54
137,2025-06-02,2308.83,Legal Services Inc,Accounting services,Operations,Professional Services,False,2025-07-09 11:11:54
138,2024-10-30,546.12,Conference Registration,Conference registration,Operations,Training,False,2025-07-09 11:11:54
139,2025-07-07,754.15,IKEA Business,Desk supplies,Executive,Office Supplies,False,2025-07-09 11:11:54
140,2025-03-27,4218.13,HP Enterprise,Software/hardware,Sales,Equipment,False,2025-07-09 11:11:54
141,2024-09-22,14728.75,BambooHR,Employee benefits,Marketing,Personnel,False,2025-07-09 11:11:54
142,2025-01-06,1892.47,Coursera Business,Professional certification,Marketing,Training,False,2025-07-09 11:11:54
143,2024-10-24,2725.03,JetBrains,Software licenses,Engineering,IT Infrastructure,False,2025-07-09 11:11:54
144,2025-01-14,986.62,JetBrains,Software licenses,Operations,IT Infrastructure,False,2025-07-09 11:11:54
145,2025-06-28,1741.25,Conference Registration,Online course,Operations,Training,False,2025-07-09 11:11:54
146,2025-01-28,3481.44,NetGear,Office furniture,Sales,Equipment,False,2025-07-09 11:11:54
147,2025-01-03,291.2,Home Depot,Desk supplies,Engineering,Office Supplies,False,2025-07-09 11:11:54
148,2024-12-05,4652.82,Deloitte Consulting,Accounting services,Finance,Professional Services,False,2025-07-09 11:11:54
149,2025-01-02,1628.75,Lyft,Conference travel,Operations,Travel,False,2025-07-09 11:11:54
150,2025-02-18,1709.97,United Airlines,Conference travel,Sales,Travel,False,2025-07-09 11:11:54
151,2024-08-27,491.44,Office Depot,Desk supplies,HR,Office Supplies,False,2025-07-09 11:11:54
152,2024-11-01,3196.54,Adobe Creative,Ad campaign,Sales,Marketing,False,2025-07-09 11:11:54
153,2024-08-31,1002.29,O'Reilly Media,Conference registration,Operations,Training,False,2025-07-09 11:11:54
154,2024-10-04,998.62,Uber,Client meeting travel,Finance,Travel,False,2025-07-09 11:11:54
155,2025-04-23,327.69,Comcast Business,Monthly utilities,Finance,Utilities,False,2025-07-09 11:11:54
156,2024-09-26,1942.68,AWS,Software licenses,HR,IT Infrastructure,True,2025-07-09 11:11:54
157,2025-01-13,7805.48,Smith & Associates,Business consulting,Marketing,Professional Services,False,2025-07-09 11:11:54
158,2024-10-23,4659.38,Hootsuite,Ad campaign,Engineering,Marketing,False,2025-07-09 11:11:54
159,2025-01-07,3699.41,Gusto,Contractor payment,Sales,Personnel,False,2025-07-09 11:11:54
160,2024-08-01,1147.37,Hilton,Client meeting travel,HR,Travel,False,2025-07-09 11:11:54
161,2024-09-17,6969.16,Legal Services Inc,Accounting services,HR,Professional Services,False,2025-07-09 11:11:54
162,2025-04-15,4670.38,LinkedIn Recruiter,Recruitment fees,Operations,Personnel,True,2025-07-09 11:11:54
163,2025-06-23,526.57,Miscellaneous Vendor,General business cost,Sales,Other,False,2025-07-09 11:11:54
164,2025-06-15,1823.19,Enterprise Rent-A-Car,Client meeting travel,Executive,Travel,False,2025-07-09 11:11:54
165,2024-11-10,376.46,Udemy Business,Conference registration,Executive,Training,False,2025-07-09 11:11:54
166,2025-03-11,379.89,General Supplies Co,General business cost,Marketing,Other,False,2025-07-09 11:11:54
167,2025-06-17,2771.76,Atlassian,Cloud hosting costs,Finance,IT Infrastructure,False,2025-07-09 11:11:54
168,2024-12-15,1287.87,Uber,Conference travel,Sales,Travel,False,2025-07-09 11:11:54
169,2025-02-04,11559.79,ADP Payroll,Contractor payment,Engineering,Personnel,False,2025-07-09 11:11:54
170,2024-11-06,273.56,Verizon Business,Monthly utilities,Sales,Utilities,False,2025-07-09 11:11:54
171,2025-06-05,4344.37,Glassdoor,Contractor payment,Finance,Personnel,False,2025-07-09 11:11:54
172,2024-08-08,401.36,Zoom,Software licenses,Sales,IT Infrastructure,True,2025-07-09 11:11:54
173,2024-07-31,1834.98,Conference Registration,Professional certification,Engineering,Training,False,2025-07-09 11:11:54
174,2025-03-10,3590.37,PwC,Legal consultation,Finance,Professional Services,False,2025-07-09 11:11:54
175,2025-05-01,23917.02,PwC,Business consulting,Operations,Professional Services,False,2025-07-09 11:11:54
176,2024-08-19,804.76,O'Reilly Media,Online course,HR,Training,False,2025-07-09 11:11:54
177,2025-05-09,908.78,Miscellaneous Vendor,Miscellaneous expense,Operations,Other,False,2025-07-09 11:11:54
178,2024-08-18,704.26,Pacific Gas & Electric,Monthly utilities,Marketing,Utilities,True,2025-07-09 11:11:54
179,2024-09-13,4496.07,Apple Business,Computer equipment,HR,Equipment,False,2025-07-09 11:11:54
180,2025-06-24,11132.35,Paychex,Contractor payment,Engineering,Personnel,False,2025-07-09 11:11:54
181,2024-07-25,818.94,Business Services Inc,Miscellaneous expense,Marketing,Other,False,2025-07-09 11:11:54
182,2025-07-02,4420.45,Lyft,Conference travel,Marketing,Travel,False,2025-07-09 11:11:54
183,2025-06-02,398.37,Business Services Inc,Miscellaneous expense,Operations,Other,False,2025-07-09 11:11:54
184,2025-04-16,7363.13,Deloitte Consulting,Legal consultation,Operations,Professional Services,False,2025-07-09 11:11:54
185,2025-02-25,6968.89,Smith & Associates,Legal consultation,Sales,Professional Services,False,2025-07-09 11:11:54
186,2024-11-21,2392.19,Enterprise Rent-A-Car,Conference travel,Executive,Travel,False,2025-07-09 11:11:54
187,2025-04-07,642.21,General Supplies Co,Miscellaneous expense,HR,Other,False,2025-07-09 11:11:54
188,2025-02-15,5291.37,Paychex,Contractor payment,Finance,Personnel,True,2025-07-09 11:11:54
189,2025-04-27,403.65,Conference Registration,Professional certification,Operations,Training,False,2025-07-09 11:11:54
190,2024-10-07,2987.89,Lenovo,Office furniture,Executive,Equipment,False,2025-07-09 11:11:54
191,2025-01-09,446.88,Best Buy Business,Desk supplies,HR,Office Supplies,False,2025-07-09 11:11:54
192,2024-11-05,666.79,Verizon Business,Internet service,Operations,Utilities,False,2025-07-09 11:11:54
193,2024-12-13,1089.56,LinkedIn Learning,Online course,Finance,Training,False,2025-07-09 11:11:54
194,2025-04-22,5721.21,KPMG,Business consulting,Finance,Professional Services,False,2025-07-09 11:11:54
195,2024-09-26,1723.2,Xerox,Software/hardware,Finance,Equipment,False,2025-07-09 11:11:54
196,2025-04-27,977.15,GitHub,API usage fees,HR,IT Infrastructure,False,2025-07-09 11:11:54
197,2024-07-24,2675.18,Apple Business,Software/hardware,HR,Equipment,False,2025-07-09 11:11:54
198,2024-12-22,1407.04,Smith & Associates,Legal consultation,HR,Professional Services,False,2025-07-09 11:11:54
199,2024-07-26,836.05,Business Services Inc,General business cost,Sales,Other,False,2025-07-09 11:11:54
200,2025-06-26,775.8,Pluralsight,Professional certification,Sales,Training,False,2025-07-09 11:11:54
201,2025-01-24,1431.0,Uber,Conference travel,Engineering,Travel,False,2025-07-09 11:11:54
202,2025-02-11,248.95,Staples,Meeting room supplies,Operations,Office Supplies,False,2025-07-09 11:11:54
203,2024-07-22,2224.21,NetGear,Office furniture,Finance,Equipment,False,2025-07-09 11:11:54
204,2025-02-20,5628.77,ADP Payroll,Employee benefits,Sales,Personnel,False,2025-07-09 11:11:54
205,2024-09-15,2086.93,Google Cloud,Cloud hosting costs,Marketing,IT Infrastructure,False,2025-07-09 11:11:54
206,2024-10-18,2410.75,Canon Business,Software/hardware,Operations,Equipment,False,2025-07-09 11:11:54
207,2025-04-07,2603.42,Deloitte Consulting,Legal consultation,Executive,Professional Services,False,2025-07-09 11:11:54
208,2025-01-11,4259.22,Lenovo,Software/hardware,Sales,Equipment,False,2025-07-09 11:11:54
209,2024-10-21,657.03,Docker,Cloud hosting costs,Executive,IT Infrastructure,False,2025-07-09 11:11:54
210,2024-08-10,1884.43,Hootsuite,Content creation,Marketing,Marketing,False,2025-07-09 11:11:54
211,2024-10-29,3670.66,Mailchimp,Marketing tools subscription,Sales,Marketing,False,2025-07-09 11:11:54
212,2024-12-30,2159.93,Lyft,Conference travel,Sales,Travel,False,2025-07-09 11:11:54
213,2024-10-10,2748.86,Apple Business,Computer equipment,HR,Equipment,False,2025-07-09 11:11:54
214,2025-06-09,1536.53,Coursera Business,Conference registration,Engineering,Training,False,2025-07-09 11:11:54
215,2024-12-13,590.59,Business Services Inc,General business cost,HR,Other,False,2025-07-09 11:11:54
216,2024-08-08,3329.6,McKinsey,Accounting services,Marketing,Professional Services,False,2025-07-09 11:11:54
217,2024-09-23,9070.0,Paychex,Contractor payment,Operations,Personnel,False,2025-07-09 11:11:54
218,2025-03-19,778.1,AT&T Business,Monthly utilities,Sales,Utilities,False,2025-07-09 11:11:54
219,2025-03-07,3548.2,Salesforce,Marketing tools subscription,Finance,Marketing,False,2025-07-09 11:11:54
220,2025-01-30,907.35,Pluralsight,Online course,Executive,Training,False,2025-07-09 11:11:54
221,2025-05-29,84.98,Amazon Business,Office materials,HR,Office Supplies,False,2025-07-09 11:11:54
222,2024-09-14,2919.55,Canva,Marketing tools subscription,Executive,Marketing,False,2025-07-09 11:11:54
223,2025-04-06,2083.25,Delta Airlines,Conference travel,HR,Travel,False,2025-07-09 11:11:54
224,2025-01-01,942.15,General Supplies Co,General business cost,Sales,Other,False,2025-07-09 11:11:54
225,2025-04-15,1195.87,Pluralsight,Conference registration,Executive,Training,False,2025-07-09 11:11:54
226,2025-01-09,168.23,Conference Registration,Professional certification,Executive,Training,False,2025-07-09 11:11:54
227,2024-08-02,5376.86,Glassdoor,Employee benefits,Sales,Personnel,False,2025-07-09 11:11:54
228,2024-09-09,489.61,AT&T Business,Phone service,Executive,Utilities,False,2025-07-09 11:11:54
229,2025-04-05,2257.57,Hootsuite,Content creation,Finance,Marketing,False,2025-07-09 11:11:54
230,2024-08-02,9181.93,Indeed Hiring,Employee benefits,Sales,Personnel,False,2025-07-09 11:11:54
231,2024-09-12,1768.86,Conference Registration,Professional certification,HR,Training,False,2025-07-09 11:11:54
232,2025-06-27,1649.36,Udemy Business,Online course,Executive,Training,False,2025-07-09 11:11:54
233,2025-02-14,1696.13,LinkedIn Learning,Conference registration,Sales,Training,False,2025-07-09 11:11:54
234,2024-11-17,5552.41,Paychex,Contractor payment,Engineering,Personnel,False,2025-07-09 11:11:54
235,2025-03-09,1536.29,LinkedIn Marketing,Marketing tools subscription,Engineering,Marketing,False,2025-07-09 11:11:54
236,2024-10-14,5360.09,KPMG,Business consulting,Sales,Professional Services,False,2025-07-09 11:11:54
237,2024-10-02,1343.46,ConEd,Internet service,Finance,Utilities,False,2025-07-09 11:11:54
238,2024-09-22,7680.96,Glassdoor,Contractor payment,Finance,Personnel,False,2025-07-09 11:11:54
239,2025-05-11,348.83,Miscellaneous Vendor,General business cost,Executive,Other,False,2025-07-09 11:11:54
240,2024-10-27,659.59,Staples,Meeting room supplies,Finance,Office Supplies,False,2025-07-09 11:11:54
241,2025-05-14,4451.18,Workday,Employee benefits,Marketing,Personnel,False,2025-07-09 11:11:54
242,2024-10-21,5931.95,Smith & Associates,Accounting services,Engineering,Professional Services,False,2025-07-09 11:11:54
243,2024-08-25,912.89,General Supplies Co,General business cost,Finance,Other,False,2025-07-09 11:11:54
244,2025-06-12,742.79,JetBrains,Cloud hosting costs,HR,IT Infrastructure,False,2025-07-09 11:11:54
245,2025-06-17,1574.94,Smith & Associates,Accounting services,HR,Professional Services,False,2025-07-09 11:11:54
246,2024-10-10,5256.29,McKinsey,Legal consultation,Sales,Professional Services,False,2025-07-09 11:11:54
247,2024-11-25,959.69,Pacific Gas & Electric,Phone service,Finance,Utilities,False,2025-07-09 11:11:54
248,2025-04-26,2742.53,DigitalOcean,Software licenses,Sales,IT Infrastructure,True,2025-07-09 11:11:54
249,2025-01-18,808.64,Miscellaneous Vendor,General business cost,Executive,Other,False,2025-07-09 11:11:54
250,2024-09-20,1625.03,United Airlines,Business trip,Marketing,Travel,False,2025-07-09 11:11:54
251,2024-11-25,7209.86,Smith & Associates,Accounting services,Marketing,Professional Services,False,2025-07-09 11:11:54
252,2024-07-31,637.65,Google Cloud,Cloud hosting costs,HR,IT Infrastructure,False,2025-07-09 11:11:54
253,2025-05-13,5427.26,Deloitte Consulting,Accounting services,Engineering,Professional Services,False,2025-07-09 11:11:54
254,2024-07-22,542.95,United Airlines,Business trip,HR,Travel,False,2025-07-09 11:11:54
255,2024-11-14,745.46,Conference Registration,Conference registration,Operations,Training,False,2025-07-09 11:11:54
256,2025-05-06,2477.42,KPMG,Accounting services,Sales,Professional Services,False,2025-07-09 11:11:54
257,2024-11-17,2039.13,Hilton,Conference travel,Engineering,Travel,False,2025-07-09 11:11:54
258,2024-12-26,695.84,Hootsuite,Content creation,HR,Marketing,False,2025-07-09 11:11:54
259,2024-11-16,558.24,Amazon Business,Meeting room supplies,Finance,Office Supplies,False,2025-07-09 11:11:54
260,2025-01-23,1261.88,ConEd,Phone service,Finance,Utilities,True,2025-07-09 11:11:54
261,2024-10-10,4244.07,Google Ads,Marketing tools subscription,Finance,Marketing,False,2025-07-09 11:11:54
262,2025-01-19,2973.01,LinkedIn Marketing,Ad campaign,Sales,Marketing,False,2025-07-09 11:11:54
263,2025-03-01,3891.16,PwC,Accounting services,Executive,Professional Services,False,2025-07-09 11:11:54
264,2024-11-10,2237.76,Salesforce,Marketing tools subscription,Engineering,Marketing,False,2025-07-09 11:11:54
265,2024-09-15,3040.96,McKinsey,Accounting services,Engineering,Professional Services,False,2025-07-09 11:11:54
266,2024-10-28,2639.14,Zoom,API usage fees,Marketing,IT Infrastructure,True,2025-07-09 11:11:54
267,2025-05-28,1096.6,Pacific Gas & Electric,Internet service,Operations,Utilities,False,2025-07-09 11:11:54
268,2025-01-16,1255.12,Pacific Gas & Electric,Phone service,Finance,Utilities,False,2025-07-09 11:11:54
269,2024-10-11,235.61,Home Depot,Office materials,HR,Office Supplies,False,2025-07-09 11:11:54
270,2024-07-28,12449.66,BambooHR,Recruitment fees,HR,Personnel,False,2025-07-09 11:11:54
271,2025-04-22,647.89,Office Depot,Office materials,Marketing,Office Supplies,False,2025-07-09 11:11:54
