date,amount,vendor,description,department,category,created_at
2024-09-17,6969.16,Legal Services Inc,Accounting services,HR,Professional Services,2025-07-09 11:25:08
2025-04-15,4670.38,LinkedIn Recruiter,Recruitment fees,Operations,Personnel,2025-07-09 11:25:08
2025-06-23,526.57,Miscellaneous Vendor,General business cost,Sales,Other,2025-07-09 11:25:08
2025-06-15,1823.19,Enterprise Rent-A-Car,Client meeting travel,Executive,Travel,2025-07-09 11:25:08
2024-11-10,376.46,Udemy Business,Conference registration,Executive,Training,2025-07-09 11:25:08
2025-03-11,379.89,General Supplies Co,General business cost,Marketing,Other,2025-07-09 11:25:08
2025-06-17,2771.76,Atlassian,Cloud hosting costs,Finance,IT Infrastructure,2025-07-09 11:25:08
2024-12-15,1287.87,Uber,Conference travel,Sales,Travel,2025-07-09 11:25:08
2025-02-04,11559.79,ADP Payroll,Contractor payment,Engineering,Personnel,2025-07-09 11:25:08
2024-11-06,273.56,Verizon Business,Monthly utilities,Sales,Utilities,2025-07-09 11:25:08
2025-06-05,4344.37,Glassdoor,Contractor payment,Finance,Personnel,2025-07-09 11:25:08
2024-08-08,401.36,Zoom,Software licenses,Sales,IT Infrastructure,2025-07-09 11:25:08
2024-07-31,1834.98,Conference Registration,Professional certification,Engineering,Training,2025-07-09 11:25:08
2025-03-10,3590.37,PwC,Legal consultation,Finance,Professional Services,2025-07-09 11:25:08
2025-05-01,23917.02,PwC,Business consulting,Operations,Professional Services,2025-07-09 11:25:08
2024-08-19,804.76,O'Reilly Media,Online course,HR,Training,2025-07-09 11:25:08
2025-05-09,908.78,Miscellaneous Vendor,Miscellaneous expense,Operations,Other,2025-07-09 11:25:08
2024-08-18,704.26,Pacific Gas & Electric,Monthly utilities,Marketing,Utilities,2025-07-09 11:25:08
2024-09-13,4496.07,Apple Business,Computer equipment,HR,Equipment,2025-07-09 11:25:08
2025-06-24,11132.35,Paychex,Contractor payment,Engineering,Personnel,2025-07-09 11:25:08
2024-07-25,818.94,Business Services Inc,Miscellaneous expense,Marketing,Other,2025-07-09 11:25:08
2025-07-02,4420.45,Lyft,Conference travel,Marketing,Travel,2025-07-09 11:25:08
2025-06-02,398.37,Business Services Inc,Miscellaneous expense,Operations,Other,2025-07-09 11:25:08
2025-04-16,7363.13,Deloitte Consulting,Legal consultation,Operations,Professional Services,2025-07-09 11:25:08
2025-02-25,6968.89,Smith & Associates,Legal consultation,Sales,Professional Services,2025-07-09 11:25:08
2024-11-21,2392.19,Enterprise Rent-A-Car,Conference travel,Executive,Travel,2025-07-09 11:25:08
2025-04-07,642.21,General Supplies Co,Miscellaneous expense,HR,Other,2025-07-09 11:25:08
2025-02-15,5291.37,Paychex,Contractor payment,Finance,Personnel,2025-07-09 11:25:08
2025-04-27,403.65,Conference Registration,Professional certification,Operations,Training,2025-07-09 11:25:08
2024-10-07,2987.89,Lenovo,Office furniture,Executive,Equipment,2025-07-09 11:25:08
2025-01-09,446.88,Best Buy Business,Desk supplies,HR,Office Supplies,2025-07-09 11:25:08
2024-11-05,666.79,Verizon Business,Internet service,Operations,Utilities,2025-07-09 11:25:08
2024-12-13,1089.56,LinkedIn Learning,Online course,Finance,Training,2025-07-09 11:25:08
2025-04-22,5721.21,KPMG,Business consulting,Finance,Professional Services,2025-07-09 11:25:08
2024-09-26,1723.2,Xerox,Software/hardware,Finance,Equipment,2025-07-09 11:25:08
2025-04-27,977.15,GitHub,API usage fees,HR,IT Infrastructure,2025-07-09 11:25:08
2024-07-24,2675.18,Apple Business,Software/hardware,HR,Equipment,2025-07-09 11:25:08
2024-12-22,1407.04,Smith & Associates,Legal consultation,HR,Professional Services,2025-07-09 11:25:08
2024-07-26,836.05,Business Services Inc,General business cost,Sales,Other,2025-07-09 11:25:08
2025-06-26,775.8,Pluralsight,Professional certification,Sales,Training,2025-07-09 11:25:08
2025-01-24,1431.0,Uber,Conference travel,Engineering,Travel,2025-07-09 11:25:08
2025-02-11,248.95,Staples,Meeting room supplies,Operations,Office Supplies,2025-07-09 11:25:08
2024-07-22,2224.21,NetGear,Office furniture,Finance,Equipment,2025-07-09 11:25:08
2025-02-20,5628.77,ADP Payroll,Employee benefits,Sales,Personnel,2025-07-09 11:25:08
2024-09-15,2086.93,Google Cloud,Cloud hosting costs,Marketing,IT Infrastructure,2025-07-09 11:25:08
2024-10-18,2410.75,Canon Business,Software/hardware,Operations,Equipment,2025-07-09 11:25:08
2025-04-07,2603.42,Deloitte Consulting,Legal consultation,Executive,Professional Services,2025-07-09 11:25:08
2025-01-11,4259.22,Lenovo,Software/hardware,Sales,Equipment,2025-07-09 11:25:08
2024-10-21,657.03,Docker,Cloud hosting costs,Executive,IT Infrastructure,2025-07-09 11:25:08
2024-08-10,1884.43,Hootsuite,Content creation,Marketing,Marketing,2025-07-09 11:25:08
2024-10-29,3670.66,Mailchimp,Marketing tools subscription,Sales,Marketing,2025-07-09 11:25:08
2024-12-30,2159.93,Lyft,Conference travel,Sales,Travel,2025-07-09 11:25:08
2024-10-10,2748.86,Apple Business,Computer equipment,HR,Equipment,2025-07-09 11:25:08
2025-06-09,1536.53,Coursera Business,Conference registration,Engineering,Training,2025-07-09 11:25:08
2024-12-13,590.59,Business Services Inc,General business cost,HR,Other,2025-07-09 11:25:08
2024-08-08,3329.6,McKinsey,Accounting services,Marketing,Professional Services,2025-07-09 11:25:08
2024-09-23,9070.0,Paychex,Contractor payment,Operations,Personnel,2025-07-09 11:25:08
2025-03-19,778.1,AT&T Business,Monthly utilities,Sales,Utilities,2025-07-09 11:25:08
2025-03-07,3548.2,Salesforce,Marketing tools subscription,Finance,Marketing,2025-07-09 11:25:08
2025-01-30,907.35,Pluralsight,Online course,Executive,Training,2025-07-09 11:25:08
2025-05-29,84.98,Amazon Business,Office materials,HR,Office Supplies,2025-07-09 11:25:08
2024-09-14,2919.55,Canva,Marketing tools subscription,Executive,Marketing,2025-07-09 11:25:08
2025-04-06,2083.25,Delta Airlines,Conference travel,HR,Travel,2025-07-09 11:25:08
2025-01-01,942.15,General Supplies Co,General business cost,Sales,Other,2025-07-09 11:25:08
2025-04-15,1195.87,Pluralsight,Conference registration,Executive,Training,2025-07-09 11:25:08
2025-01-09,168.23,Conference Registration,Professional certification,Executive,Training,2025-07-09 11:25:08
2024-08-02,5376.86,Glassdoor,Employee benefits,Sales,Personnel,2025-07-09 11:25:08
2024-09-09,489.61,AT&T Business,Phone service,Executive,Utilities,2025-07-09 11:25:08
2025-04-05,2257.57,Hootsuite,Content creation,Finance,Marketing,2025-07-09 11:25:08
2024-08-02,9181.93,Indeed Hiring,Employee benefits,Sales,Personnel,2025-07-09 11:25:08
2024-09-12,1768.86,Conference Registration,Professional certification,HR,Training,2025-07-09 11:25:08
2025-06-27,1649.36,Udemy Business,Online course,Executive,Training,2025-07-09 11:25:08
2025-02-14,1696.13,LinkedIn Learning,Conference registration,Sales,Training,2025-07-09 11:25:08
2024-11-17,5552.41,Paychex,Contractor payment,Engineering,Personnel,2025-07-09 11:25:08
2025-03-09,1536.29,LinkedIn Marketing,Marketing tools subscription,Engineering,Marketing,2025-07-09 11:25:08
2024-10-14,5360.09,KPMG,Business consulting,Sales,Professional Services,2025-07-09 11:25:08
2024-10-02,1343.46,ConEd,Internet service,Finance,Utilities,2025-07-09 11:25:08
2024-09-22,7680.96,Glassdoor,Contractor payment,Finance,Personnel,2025-07-09 11:25:08
2025-05-11,348.83,Miscellaneous Vendor,General business cost,Executive,Other,2025-07-09 11:25:08
2024-10-27,659.59,Staples,Meeting room supplies,Finance,Office Supplies,2025-07-09 11:25:08
2025-05-14,4451.18,Workday,Employee benefits,Marketing,Personnel,2025-07-09 11:25:08
2024-10-21,5931.95,Smith & Associates,Accounting services,Engineering,Professional Services,2025-07-09 11:25:08
2024-08-25,912.89,General Supplies Co,General business cost,Finance,Other,2025-07-09 11:25:08
2025-06-12,742.79,JetBrains,Cloud hosting costs,HR,IT Infrastructure,2025-07-09 11:25:08
2025-06-17,1574.94,Smith & Associates,Accounting services,HR,Professional Services,2025-07-09 11:25:08
2024-10-10,5256.29,McKinsey,Legal consultation,Sales,Professional Services,2025-07-09 11:25:08
2024-11-25,959.69,Pacific Gas & Electric,Phone service,Finance,Utilities,2025-07-09 11:25:08
2025-04-26,2742.53,DigitalOcean,Software licenses,Sales,IT Infrastructure,2025-07-09 11:25:08
2025-01-18,808.64,Miscellaneous Vendor,General business cost,Executive,Other,2025-07-09 11:25:08
2024-09-20,1625.03,United Airlines,Business trip,Marketing,Travel,2025-07-09 11:25:08
2024-11-25,7209.86,Smith & Associates,Accounting services,Marketing,Professional Services,2025-07-09 11:25:08
2024-07-31,637.65,Google Cloud,Cloud hosting costs,HR,IT Infrastructure,2025-07-09 11:25:08
2025-05-13,5427.26,Deloitte Consulting,Accounting services,Engineering,Professional Services,2025-07-09 11:25:08
2024-07-22,542.95,United Airlines,Business trip,HR,Travel,2025-07-09 11:25:08
2024-11-14,745.46,Conference Registration,Conference registration,Operations,Training,2025-07-09 11:25:08
2025-05-06,2477.42,KPMG,Accounting services,Sales,Professional Services,2025-07-09 11:25:08
2024-11-17,2039.13,Hilton,Conference travel,Engineering,Travel,2025-07-09 11:25:08
2024-12-26,695.84,Hootsuite,Content creation,HR,Marketing,2025-07-09 11:25:08
2024-11-16,558.24,Amazon Business,Meeting room supplies,Finance,Office Supplies,2025-07-09 11:25:08
2025-01-23,1261.88,ConEd,Phone service,Finance,Utilities,2025-07-09 11:25:08
2024-10-10,4244.07,Google Ads,Marketing tools subscription,Finance,Marketing,2025-07-09 11:25:08
2025-01-19,2973.01,LinkedIn Marketing,Ad campaign,Sales,Marketing,2025-07-09 11:25:08
2025-03-01,3891.16,PwC,Accounting services,Executive,Professional Services,2025-07-09 11:25:08
2024-11-10,2237.76,Salesforce,Marketing tools subscription,Engineering,Marketing,2025-07-09 11:25:08
2024-09-15,3040.96,McKinsey,Accounting services,Engineering,Professional Services,2025-07-09 11:25:08
2024-10-28,2639.14,Zoom,API usage fees,Marketing,IT Infrastructure,2025-07-09 11:25:08
2025-05-28,1096.6,Pacific Gas & Electric,Internet service,Operations,Utilities,2025-07-09 11:25:08
2025-01-16,1255.12,Pacific Gas & Electric,Phone service,Finance,Utilities,2025-07-09 11:25:08
2024-10-11,235.61,Home Depot,Office materials,HR,Office Supplies,2025-07-09 11:25:08
2024-07-28,12449.66,BambooHR,Recruitment fees,HR,Personnel,2025-07-09 11:25:08
2025-04-22,647.89,Office Depot,Office materials,Marketing,Office Supplies,2025-07-09 11:25:08
2024-09-23,4998.16,Xerox,Software/hardware,Operations,Equipment,2025-07-09 11:25:08
2024-07-24,8149.76,Glassdoor,Employee benefits,Engineering,Personnel,2025-07-09 11:25:08
2024-11-08,475.91,Waste Management,Monthly utilities,Operations,Utilities,2025-07-09 11:25:08
2025-05-04,585.82,Google Ads,Marketing tools subscription,Marketing,Marketing,2025-07-09 11:25:08
2025-04-05,717.17,Costco Business,Office materials,Marketing,Office Supplies,2025-07-09 11:25:08
2025-01-25,11411.98,BambooHR,Contractor payment,Operations,Personnel,2025-07-09 11:25:08
2024-11-04,4659.24,Dell Business,Software/hardware,Marketing,Equipment,2025-07-09 11:25:08
2024-08-29,11954.25,Workday,Recruitment fees,Engineering,Personnel,2025-07-09 11:25:08
2025-05-16,1300.93,HP Enterprise,Computer equipment,Executive,Equipment,2025-07-09 11:25:08
2025-05-06,2022.46,Lyft,Business trip,Sales,Travel,2025-07-09 11:25:08
2024-08-21,4462.71,Apple Business,Office furniture,Operations,Equipment,2025-07-09 11:25:08
2025-05-15,1907.34,KPMG,Legal consultation,Sales,Professional Services,2025-07-09 11:25:08
2025-05-21,7211.11,Smith & Associates,Business consulting,Sales,Professional Services,2025-07-09 11:25:08
2024-08-06,1899.46,DigitalOcean,Software licenses,Sales,IT Infrastructure,2025-07-09 11:25:08
2024-08-18,606.72,Hilton,Business trip,Operations,Travel,2025-07-09 11:25:08
2024-07-15,109.75,Costco Business,Meeting room supplies,Engineering,Office Supplies,2025-07-09 11:25:08
2024-08-25,315.87,Home Depot,Meeting room supplies,HR,Office Supplies,2025-07-09 11:25:08
2025-02-03,12838.62,Workday,Employee benefits,Executive,Personnel,2025-07-09 11:25:08
2024-10-13,1877.88,HP Enterprise,Office furniture,Engineering,Equipment,2025-07-09 11:25:08
2024-09-26,815.56,Pluralsight,Conference registration,Engineering,Training,2025-07-09 11:25:08
2024-10-23,34325.94,LinkedIn Recruiter,Contractor payment,Marketing,Personnel,2025-07-09 11:25:08
2025-05-17,1585.09,LinkedIn Learning,Online course,Sales,Training,2025-07-09 11:25:08
2025-02-06,763.56,Dell Business,Office furniture,Engineering,Equipment,2025-07-09 11:25:08
